state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
Maharashtra,Beed,64.6,50.4,35.3,6.09,0.38,39.3,Black Cotton,24.9,87.3,257.3,1.62,351.8,5.51,Rice
Rajasthan,Rajsamand,46.5,67.6,37.7,6.98,0.52,19.6,Black Cotton,26.9,43.5,96.3,1.43,338.7,0.64,Soybean
Uttar Pradesh,Raebareli,64.2,51.7,21.1,5.75,0.49,27.9,Loamy,26.2,61.9,96.5,1.77,348.0,2.42,Maize
Andhra Pradesh,Chittoor,47.3,35.5,32.7,5.97,0.54,30.0,Silty,23.2,66.6,74.1,1.56,493.6,2.89,Tobacco
Karnataka,Davanagere,66.6,59.2,19.7,6.52,0.32,31.0,Clayey,20.5,68.8,82.6,0.9,418.9,2.77,Maize
Tamil Nadu,Kancheepuram,45.5,49.1,37.1,5.97,0.45,26.2,Clayey,26.4,58.2,74.5,1.17,441.1,1.82,Tobacco
Karnataka,Bengaluru Rural,21.4,52.9,26.1,6.86,0.71,30.4,Sandy,29.1,67.5,62.2,0.28,440.8,4.52,Urad
Maharashtra,Buldhana,38.4,51.8,35.1,6.28,0.64,27.9,Red Soil,22.8,61.9,48.9,1.34,297.6,3.34,Wheat
Uttar Pradesh,Etawah,44.0,58.0,35.7,6.7,0.4,23.3,Black Cotton,19.6,51.7,49.9,0.51,457.1,3.54,Wheat
Maharashtra,Dhule,28.7,60.7,37.2,6.09,0.6,14.4,Silty,18.3,32.0,36.5,0.35,540.1,0.64,Bengal Gram
Bihar,Gaya,44.3,49.1,40.3,5.74,0.42,22.4,Sandy,29.9,49.7,53.8,2.02,405.6,4.92,Groundnut
Tamil Nadu,Erode,100.9,51.8,57.8,6.08,0.59,38.2,Red Soil,26.2,85.0,158.1,1.21,405.5,3.88,Sugarcane
Telangana,Kamareddy,26.3,18.0,30.0,5.75,0.69,40.5,Silty,27.4,90.0,154.7,1.53,136.1,1.72,Coconut
Andhra Pradesh,Anantapur,67.6,40.1,52.1,6.6,0.51,28.6,Clayey,22.9,63.5,39.6,0.21,432.4,1.21,Onion
Maharashtra,Nandurbar,85.4,40.0,22.8,5.86,0.67,25.4,Loamy,23.5,56.5,82.3,1.69,388.0,1.77,Maize
Maharashtra,Mumbai,32.6,54.6,42.4,6.98,0.78,26.9,Sandy,15.8,59.7,64.2,0.76,455.4,3.06,Wheat
West Bengal,Bankura,21.7,21.9,31.1,5.52,0.49,42.7,Black Cotton,28.2,94.9,140.9,1.36,474.6,3.41,Coconut
Andhra Pradesh,Guntur,30.0,52.1,28.4,7.11,0.78,28.5,Clayey,31.1,63.3,52.1,1.73,310.3,2.41,Urad
Punjab,Gurdaspur,29.5,60.4,28.8,6.87,0.51,23.4,Loamy,30.3,52.0,66.5,1.77,373.8,3.55,Moong
Punjab,Ludhiana,36.6,75.1,36.9,6.83,0.48,18.9,Loamy,20.0,42.1,93.7,0.84,263.4,3.0,Soybean
Bihar,Patna,108.3,46.3,22.3,7.39,0.31,36.5,Laterite,24.5,81.2,78.1,1.01,292.3,2.35,Cotton
West Bengal,Darjeeling,32.5,56.0,43.0,6.98,0.39,14.4,Red Soil,19.7,32.1,52.1,1.21,519.6,4.78,Bengal Gram
Maharashtra,Raigad,40.6,50.1,38.8,6.63,0.41,23.2,Red Soil,20.6,51.6,72.0,2.49,551.2,4.4,Wheat
Bihar,Sheikhpura,79.1,37.3,37.8,5.93,0.69,38.0,Silty,26.7,84.4,268.5,0.5,474.9,3.08,Rice
West Bengal,Kalimpong,64.2,41.8,20.5,6.54,0.42,29.8,Laterite,26.1,66.3,87.2,0.88,234.5,2.6,Maize
West Bengal,Howrah,112.0,62.6,58.8,7.12,0.66,36.4,Loamy,31.4,80.9,170.7,1.59,650.4,1.78,Sugarcane
Uttar Pradesh,Kanpur Dehat,19.3,69.0,24.4,6.19,0.45,27.6,Silty,30.6,61.3,50.5,0.88,256.6,3.19,Urad
Uttar Pradesh,Aligarh,21.4,69.0,25.9,6.58,0.4,33.0,Black Cotton,26.6,73.4,63.9,0.85,431.2,3.05,Urad
Punjab,Bathinda,22.1,34.9,22.6,5.65,0.41,9.4,Black Cotton,26.8,20.8,45.2,1.79,431.1,2.93,Ragi
Maharashtra,Mumbai Suburban,133.6,49.4,28.5,6.64,0.68,36.9,Laterite,26.7,82.0,98.3,0.94,406.7,3.07,Cotton
Bihar,Lakhisarai,67.5,43.3,51.8,6.67,0.59,25.3,Red Soil,18.1,56.2,42.9,1.22,500.8,3.58,Onion
Andhra Pradesh,West Godavari,36.6,72.8,25.5,6.1,0.57,24.4,Silty,29.7,54.3,75.9,0.61,526.0,2.2,Toor
Karnataka,Dakshina Kannada,60.3,53.7,51.3,6.89,0.33,23.0,Sandy,19.8,51.1,38.4,0.87,533.6,4.06,Onion
Andhra Pradesh,Prakasam,94.0,57.0,42.0,7.15,0.79,37.6,Loamy,25.6,83.5,179.3,1.59,456.2,1.73,Sugarcane
Maharashtra,Washim,108.5,70.3,46.1,6.8,0.54,37.3,Loamy,26.1,82.8,108.3,0.13,208.2,4.51,Banana
West Bengal,Kolkata,45.0,53.9,52.5,6.23,0.73,24.1,Red Soil,26.0,53.6,61.5,0.53,348.0,2.36,Mirchi
West Bengal,Nadia,118.4,59.3,43.3,7.42,0.49,38.3,Laterite,28.9,85.1,214.1,1.09,400.9,2.64,Sugarcane
Bihar,Nalanda,32.0,56.5,28.6,5.93,0.79,19.6,Sandy,13.8,43.5,48.9,1.08,477.6,3.51,Mustard
West Bengal,Birbhum,84.0,43.0,20.9,6.23,0.42,27.2,Loamy,18.3,60.5,88.7,0.85,519.2,1.19,Maize
Karnataka,Bagalkot,56.4,59.7,41.4,6.86,0.53,21.8,Red Soil,27.7,48.5,50.4,1.53,593.6,2.56,Sunflower
Telangana,Suryapet,63.4,56.1,23.2,5.56,0.45,30.0,Red Soil,25.1,66.6,82.7,0.91,505.3,1.17,Maize
Maharashtra,Thane,40.5,45.7,28.6,6.33,0.64,18.0,Silty,31.5,40.0,53.2,2.48,266.4,2.85,Sorghum
Karnataka,Chitradurga,42.5,42.5,28.8,6.31,0.73,16.4,Silty,26.4,36.4,44.8,1.71,633.2,5.28,Sorghum
Punjab,Fatehgarh Sahib,54.2,51.3,58.6,6.7,0.63,28.3,Sandy,24.5,62.8,47.6,2.02,410.9,3.47,Tomato
Bihar,Sheikhpura,35.2,56.1,46.0,5.55,0.77,25.1,Clayey,26.2,55.8,88.7,1.01,466.5,4.68,Mirchi
West Bengal,Cooch Behar,125.1,45.9,20.3,6.37,0.35,35.8,Clayey,22.2,79.5,62.6,2.27,366.3,2.94,Cotton
Uttar Pradesh,Raebareli,39.4,31.5,32.3,6.08,0.6,15.2,Silty,26.1,33.7,56.4,0.89,523.5,1.13,Sorghum
Maharashtra,Pune,58.9,51.5,61.0,6.78,0.67,28.8,Black Cotton,24.5,64.1,43.0,1.09,452.0,2.62,Onion
Uttar Pradesh,Baghpat,55.2,42.5,41.5,5.51,0.61,26.9,Silty,22.2,59.7,77.7,1.64,369.7,1.18,Tobacco
Bihar,Gopalganj,67.0,55.1,43.9,6.52,0.75,21.9,Black Cotton,25.8,48.7,70.8,0.42,452.1,3.16,Sunflower
Punjab,Gurdaspur,108.4,76.0,45.0,6.79,0.73,37.0,Clayey,26.7,82.2,117.0,0.68,598.2,1.69,Banana
Bihar,Araria,81.9,38.0,38.9,6.97,0.7,39.6,Silty,25.4,88.0,188.3,2.42,300.7,2.17,Rice
West Bengal,Alipurduar,28.1,30.8,15.2,5.09,0.31,15.9,Loamy,30.5,35.3,32.9,1.07,240.5,2.78,Ragi
Maharashtra,Pune,32.3,53.6,47.9,6.15,0.39,22.8,Clayey,30.1,50.7,53.7,0.31,460.2,3.19,Groundnut
Telangana,Jangaon,56.8,53.0,52.3,5.03,0.8,24.1,Clayey,15.6,53.5,50.4,0.1,383.8,0.27,Potato
Karnataka,Raichur,101.8,82.8,55.0,6.07,0.58,34.9,Black Cotton,26.3,77.5,92.6,0.69,259.6,2.74,Banana
Tamil Nadu,Tiruvannamalai,45.9,63.1,51.4,6.94,0.59,33.2,Silty,25.1,73.8,58.1,0.28,429.3,4.0,Tomato
Karnataka,Dakshina Kannada,41.6,56.8,38.8,6.24,0.67,30.5,Silty,18.6,67.7,65.1,0.41,419.2,2.35,Wheat
Andhra Pradesh,Srikakulam,32.0,20.3,32.1,6.21,0.69,42.8,Silty,26.1,95.0,171.7,0.97,454.7,4.61,Coconut
Bihar,Khagaria,35.5,16.5,30.4,5.05,0.79,44.0,Black Cotton,25.0,97.7,144.2,0.32,582.7,3.95,Coconut
Maharashtra,Buldhana,35.9,54.9,24.8,5.85,0.65,20.2,Silty,19.0,44.9,46.4,1.41,287.2,2.78,Mustard
Bihar,Sheohar,56.6,54.8,36.6,6.15,0.67,26.2,Black Cotton,26.1,58.2,61.3,2.06,488.7,2.99,Sunflower
Bihar,Lakhisarai,53.9,56.2,35.1,7.2,0.64,19.6,Black Cotton,26.6,43.6,71.9,0.9,401.2,2.76,Sunflower
Telangana,Mahabubnagar,26.6,50.2,23.4,6.62,0.67,14.3,Clayey,14.2,31.8,32.7,1.43,351.1,2.4,Mustard
Andhra Pradesh,Chittoor,19.7,23.9,20.1,5.55,0.64,16.1,Clayey,29.8,35.8,42.4,0.49,359.0,1.82,Ragi
Punjab,Moga,64.6,50.6,43.1,6.33,0.54,39.6,Sandy,23.2,87.9,212.5,1.48,676.3,3.21,Rice
Uttar Pradesh,Saharanpur,18.8,54.2,29.0,6.24,0.61,30.9,Loamy,30.3,68.7,44.0,1.4,687.9,5.87,Urad
Telangana,Bhadradri Kothagudem,50.3,69.7,35.7,7.35,0.69,24.9,Loamy,25.4,55.4,50.4,0.15,483.5,2.66,Sunflower
Bihar,Bhojpur,11.3,30.0,21.2,6.64,0.58,15.8,Laterite,33.0,35.2,46.0,1.72,628.0,0.1,Ragi
Rajasthan,Ajmer,11.0,32.1,15.2,6.36,0.45,14.5,Clayey,27.3,32.2,28.8,0.51,367.6,1.99,Bajra
West Bengal,Alipurduar,49.2,32.8,47.2,6.1,0.69,24.2,Red Soil,24.8,53.8,87.3,1.4,238.3,3.61,Tobacco
Maharashtra,Aurangabad,33.1,70.7,32.9,6.73,0.56,21.9,Red Soil,27.3,48.6,69.4,1.08,467.5,3.71,Toor
Bihar,Madhepura,93.5,51.4,59.0,6.66,0.58,39.5,Laterite,26.1,87.7,184.2,2.12,554.9,3.04,Sugarcane
Tamil Nadu,Tiruppur,30.3,59.9,25.9,6.71,0.64,15.8,Laterite,11.0,35.0,35.3,0.83,635.1,4.39,Mustard
Rajasthan,Barmer,19.0,57.9,22.7,6.53,0.66,26.3,Silty,29.8,58.4,49.3,1.65,791.6,2.44,Moong
Tamil Nadu,Krishnagiri,61.3,53.9,44.3,6.16,0.56,25.0,Clayey,26.2,55.6,57.2,1.28,350.2,2.9,Sunflower
Andhra Pradesh,Nandyal,63.5,46.6,19.2,5.51,0.71,28.7,Red Soil,20.5,63.8,61.4,2.87,198.1,3.82,Maize
Uttar Pradesh,Chandauli,37.8,39.1,34.1,6.29,0.76,15.1,Loamy,27.8,33.6,62.5,1.1,313.0,3.07,Sorghum
Rajasthan,Udaipur,100.7,71.8,46.7,6.33,0.38,33.9,Black Cotton,26.1,75.4,118.8,2.14,407.7,2.74,Banana
Tamil Nadu,Thiruvarur,28.2,36.1,12.6,6.72,0.72,11.0,Red Soil,33.5,24.4,36.4,0.96,644.0,2.21,Bajra
West Bengal,Cooch Behar,41.2,68.1,36.7,6.05,0.58,25.4,Silty,20.9,56.5,98.5,1.59,852.5,1.71,Soybean
Rajasthan,Bundi,22.4,39.6,17.9,5.22,0.76,15.6,Black Cotton,34.0,34.7,43.6,1.0,309.4,2.85,Ragi
Maharashtra,Thane,80.2,36.6,42.9,5.55,0.54,38.1,Silty,24.1,84.6,293.0,1.8,508.2,1.98,Rice
Uttar Pradesh,Mahoba,28.5,15.6,31.0,5.86,0.63,44.3,Red Soil,28.1,98.5,181.6,1.14,273.8,3.06,Coconut
Punjab,SBS Nagar,47.9,65.1,53.5,5.97,0.78,27.4,Red Soil,23.0,60.8,53.1,0.1,343.8,4.88,Mirchi
West Bengal,Darjeeling,43.5,35.8,26.5,6.29,0.51,21.9,Red Soil,26.5,48.7,49.6,1.43,605.9,3.8,Sorghum
Telangana,Sangareddy,66.3,41.4,42.0,6.17,0.34,38.8,Clayey,24.4,86.2,290.9,0.98,603.8,3.67,Rice
Telangana,Jayashankar Bhoopalpally,15.2,35.7,15.5,5.37,0.8,13.6,Silty,31.8,30.3,30.6,1.0,415.2,3.51,Ragi
Tamil Nadu,Thanjavur,77.2,56.5,20.8,6.63,0.41,29.6,Red Soil,24.2,65.8,94.4,1.19,387.9,3.26,Maize
Rajasthan,Bharatpur,43.4,44.5,27.4,6.92,0.42,21.3,Black Cotton,32.4,47.3,43.4,1.1,480.8,2.73,Sorghum
Rajasthan,Pali,26.8,37.8,22.2,5.14,0.53,13.8,Red Soil,32.6,30.6,53.3,0.75,356.6,3.77,Ragi
Punjab,Faridkot,122.5,52.5,20.2,7.32,0.51,37.3,Silty,27.1,82.8,107.8,2.09,417.9,3.73,Cotton
Punjab,Bathinda,29.8,67.0,28.4,6.89,0.54,31.0,Clayey,26.3,68.8,45.6,1.61,586.8,2.9,Urad
Punjab,SBS Nagar,23.9,21.7,16.8,6.55,0.35,14.0,Loamy,28.1,31.1,26.3,1.07,357.3,2.86,Bajra
Uttar Pradesh,Rampur,69.9,52.4,52.8,6.3,0.51,23.3,Sandy,21.1,51.8,54.9,1.7,236.1,2.73,Onion
West Bengal,Jhargram,31.8,18.5,27.1,5.21,0.77,43.9,Silty,28.8,97.6,200.9,0.62,399.2,3.43,Coconut
Uttar Pradesh,Mainpuri,32.3,73.3,37.7,7.37,0.58,15.6,Sandy,23.2,34.6,50.2,0.68,349.2,2.31,Bengal Gram
Bihar,Vaishali,63.6,56.1,69.8,6.71,0.62,26.6,Sandy,22.1,59.1,58.9,1.38,360.6,2.32,Onion
Tamil Nadu,Chennai,26.3,23.2,15.2,6.45,0.59,13.5,Black Cotton,34.2,30.0,32.7,0.38,274.8,3.23,Bajra
Tamil Nadu,Kancheepuram,43.9,47.5,46.3,5.7,0.58,24.4,Silty,24.0,54.2,89.9,0.49,598.1,3.79,Tobacco
Telangana,Medchal Malkajgiri,33.9,40.1,34.6,6.4,0.74,20.6,Silty,28.6,45.7,38.1,1.26,508.2,3.32,Sorghum
Rajasthan,Bhilwara,93.1,83.2,53.6,6.25,0.76,34.7,Laterite,28.4,77.1,111.8,1.09,366.4,1.59,Banana
Punjab,Patiala,40.0,42.5,30.6,6.77,0.43,14.4,Loamy,28.8,32.1,54.9,0.83,326.8,2.45,Sorghum
West Bengal,Darjeeling,48.6,67.4,51.3,6.04,0.41,23.3,Red Soil,23.3,51.8,54.5,1.66,274.0,3.05,Mirchi
Rajasthan,Banswara,36.6,30.0,33.6,5.68,0.34,41.1,Black Cotton,28.3,91.4,163.3,0.39,415.3,3.14,Coconut
Telangana,Rangareddy,66.6,44.5,64.4,6.76,0.36,25.1,Sandy,22.6,55.8,46.6,1.45,337.5,1.93,Onion
Tamil Nadu,Salem,25.7,68.9,23.0,6.77,0.77,25.4,Sandy,28.2,56.5,43.0,1.41,531.2,2.3,Urad
Uttar Pradesh,Barabanki,36.5,59.0,43.2,6.74,0.54,21.8,Red Soil,28.7,48.4,77.2,1.18,608.7,3.14,Mirchi
Telangana,Wanaparthy,30.3,44.9,48.5,5.71,0.6,24.9,Red Soil,28.3,55.4,50.9,1.05,322.3,3.76,Groundnut
West Bengal,Hooghly,37.7,54.1,39.7,6.05,0.46,22.7,Loamy,18.1,50.4,54.0,0.98,349.4,1.94,Wheat
Bihar,Kishanganj,65.1,55.3,42.8,6.14,0.54,38.3,Laterite,25.4,85.2,188.1,1.0,488.7,2.01,Rice
Tamil Nadu,Tiruppur,26.5,59.8,24.9,5.55,0.64,17.3,Laterite,18.0,38.5,49.6,0.17,395.2,0.1,Mustard
Tamil Nadu,Chennai,26.9,65.6,44.9,6.78,0.66,12.5,Laterite,18.1,27.7,35.6,2.19,402.5,1.88,Bengal Gram
West Bengal,Kalimpong,38.4,70.4,43.7,6.46,0.52,21.5,Laterite,28.2,47.7,95.3,0.66,306.6,6.4,Soybean
Uttar Pradesh,Chandauli,17.4,64.0,20.6,7.09,0.78,27.4,Laterite,30.3,60.9,67.3,1.67,417.0,2.61,Moong
West Bengal,Hooghly,35.0,67.6,41.8,7.16,0.76,14.8,Loamy,23.8,33.0,32.9,1.77,424.7,3.98,Bengal Gram
Andhra Pradesh,Kakinada,71.4,36.1,41.9,5.95,0.68,40.0,Clayey,20.7,88.9,264.1,1.52,518.4,3.54,Rice
West Bengal,Alipurduar,33.5,67.6,28.5,5.51,0.58,22.6,Loamy,25.3,50.2,66.1,2.0,487.1,2.32,Toor
Tamil Nadu,Kanyakumari,20.0,48.7,27.6,6.59,0.44,29.8,Silty,30.1,66.2,60.7,0.64,525.3,3.26,Moong
Telangana,Jangaon,11.4,34.4,23.7,6.35,0.75,11.7,Clayey,28.0,25.9,50.8,1.22,368.0,4.33,Ragi
Rajasthan,Alwar,129.9,40.4,26.7,6.58,0.47,35.6,Red Soil,28.0,79.0,104.8,0.1,389.9,2.91,Cotton
West Bengal,Nadia,32.2,23.1,27.2,5.24,0.52,43.4,Black Cotton,26.8,96.5,139.6,1.19,329.8,3.13,Coconut
West Bengal,Howrah,26.9,59.2,26.6,6.81,0.76,24.9,Clayey,29.9,55.3,67.8,0.57,433.7,2.76,Moong
Rajasthan,Baran,68.7,57.6,19.8,6.74,0.73,30.1,Laterite,19.7,66.8,97.7,2.14,440.1,3.37,Maize
Karnataka,Belagavi,47.3,46.7,38.4,6.1,0.6,26.6,Sandy,27.5,59.2,72.9,1.71,536.7,2.8,Tobacco
Punjab,Moga,96.2,72.9,49.7,6.53,0.61,36.0,Sandy,25.2,80.0,105.6,1.6,473.7,2.11,Banana
Tamil Nadu,Tirunelveli,13.1,29.4,16.5,6.61,0.47,11.7,Black Cotton,26.6,25.9,35.1,0.1,436.4,3.16,Ragi
Andhra Pradesh,Guntur,20.0,26.2,19.0,6.58,0.44,11.7,Silty,31.6,25.9,36.0,2.6,540.2,3.94,Ragi
Bihar,Purnia,49.5,58.0,70.0,6.98,0.79,35.0,Clayey,25.9,77.7,85.6,1.36,431.5,3.03,Tomato
Uttar Pradesh,Jhansi,26.6,25.9,18.1,7.47,0.72,15.4,Clayey,29.0,34.3,30.7,0.1,168.8,2.26,Bajra
Uttar Pradesh,Bhadohi,16.9,55.8,28.3,7.34,0.73,31.4,Red Soil,30.1,69.7,60.7,1.2,442.7,4.41,Urad
Uttar Pradesh,Kanpur Dehat,19.2,54.7,28.7,6.09,0.73,26.7,Sandy,26.0,59.4,46.6,0.1,537.7,2.23,Urad
Andhra Pradesh,Prakasam,54.4,61.5,37.8,6.33,0.72,24.5,Silty,27.8,54.4,62.9,0.27,297.2,2.6,Sunflower
West Bengal,Hooghly,23.6,67.3,23.0,6.59,0.36,25.7,Black Cotton,31.7,57.1,63.9,1.82,719.5,3.67,Urad
Andhra Pradesh,West Godavari,20.6,59.7,22.3,6.77,0.76,31.7,Laterite,31.9,70.5,55.8,0.86,396.0,2.43,Urad
Telangana,Komaram Bheem,27.4,50.0,29.6,7.03,0.78,29.3,Sandy,27.0,65.2,66.5,0.79,358.1,2.95,Moong
Punjab,Hoshiarpur,28.9,72.7,37.0,7.37,0.79,13.0,Black Cotton,23.7,28.9,49.2,1.45,731.8,3.73,Bengal Gram
Bihar,Nalanda,21.3,54.3,24.7,5.74,0.54,18.1,Silty,12.2,40.2,59.9,1.56,642.8,3.98,Mustard
Punjab,Tarntaran,39.3,73.0,29.6,6.05,0.35,25.8,Sandy,25.6,57.3,77.5,0.83,444.9,3.61,Toor
Uttar Pradesh,Gonda,13.7,33.5,19.1,6.52,0.44,11.3,Sandy,34.3,25.1,33.8,1.77,255.2,1.54,Bajra
Rajasthan,Udaipur,48.9,61.1,38.8,6.56,0.39,28.3,Black Cotton,19.6,62.8,47.6,0.67,187.2,4.43,Wheat
Andhra Pradesh,Kakinada,47.0,56.5,47.9,6.78,0.74,28.7,Black Cotton,25.8,63.7,63.8,0.58,515.7,3.52,Mirchi
Uttar Pradesh,Jhansi,73.3,39.4,38.1,5.6,0.47,39.5,Sandy,22.5,87.8,205.6,1.36,485.2,2.14,Rice
Andhra Pradesh,Prakasam,43.2,69.8,54.9,5.65,0.6,25.4,Clayey,26.6,56.5,58.0,3.06,416.2,6.6,Mirchi
Karnataka,Chikkamagaluru,69.3,53.9,20.8,6.73,0.78,31.0,Sandy,20.8,68.9,85.9,0.27,279.1,3.21,Maize
Andhra Pradesh,Nellore,11.8,34.4,13.9,7.15,0.31,11.6,Sandy,25.9,25.8,33.8,0.7,397.8,1.23,Bajra
Uttar Pradesh,Gorakhpur,23.4,58.6,20.1,6.84,0.7,15.6,Red Soil,10.2,34.7,44.5,0.82,370.2,3.05,Mustard
West Bengal,Uttar Dinajpur,21.7,20.0,16.0,6.5,0.59,16.2,Clayey,29.2,35.9,29.8,1.01,437.7,4.64,Bajra
Bihar,Madhepura,43.6,40.5,35.8,6.37,0.54,29.5,Clayey,23.5,65.5,80.0,1.51,512.1,2.57,Tobacco
Karnataka,Dakshina Kannada,58.2,51.4,46.4,5.14,0.54,24.3,Red Soil,21.2,54.1,51.0,0.54,438.2,1.08,Potato
Tamil Nadu,Tirunelveli,44.5,59.5,26.8,6.12,0.37,20.1,Black Cotton,29.3,44.7,67.1,0.23,386.3,2.93,Toor
Maharashtra,Nanded,53.9,41.2,41.4,6.14,0.31,29.4,Sandy,22.9,65.4,68.2,1.38,451.9,3.94,Tobacco
Telangana,Rangareddy,16.5,24.8,15.4,5.75,0.53,9.7,Loamy,30.3,21.6,44.7,1.35,355.3,1.27,Ragi
Punjab,Fazilka,57.2,35.2,42.6,5.56,0.44,27.2,Red Soil,22.2,60.4,65.2,1.37,626.3,2.19,Tobacco
Telangana,Karimnagar,39.5,54.7,43.6,6.88,0.78,22.9,Red Soil,20.2,50.8,41.4,1.95,509.6,5.49,Wheat
Tamil Nadu,Erode,31.3,55.5,20.1,6.53,0.52,17.5,Black Cotton,18.8,38.9,50.6,1.68,542.8,1.4,Mustard
Telangana,Suryapet,56.4,55.5,57.3,6.29,0.61,25.8,Red Soil,23.6,57.4,36.1,1.01,312.2,2.29,Onion
Andhra Pradesh,Guntur,18.4,59.5,29.2,7.06,0.32,31.1,Clayey,30.3,69.2,50.5,0.64,642.1,5.16,Moong
Karnataka,Raichur,60.5,55.4,41.1,6.9,0.33,23.6,Loamy,29.1,52.4,42.8,0.66,464.3,2.27,Sunflower
Maharashtra,Palghar,100.0,88.9,49.3,6.43,0.54,37.1,Clayey,28.9,82.5,111.6,0.45,360.2,2.83,Banana
Rajasthan,Sri Ganganagar,35.0,64.3,39.7,6.95,0.36,24.7,Loamy,22.4,54.9,88.5,1.61,465.5,1.9,Soybean
Telangana,Nagarkurnool,55.2,37.3,39.1,5.55,0.59,26.7,Loamy,28.0,59.3,67.4,0.74,430.0,2.84,Tobacco
Karnataka,Mysuru,47.6,43.7,28.4,6.5,0.68,18.8,Silty,27.8,41.7,37.2,0.8,440.9,4.85,Sorghum
West Bengal,Birbhum,48.9,42.0,49.1,5.93,0.63,21.6,Laterite,26.7,47.9,75.3,1.11,500.4,2.0,Groundnut
West Bengal,Murshidabad,69.0,53.4,42.9,6.06,0.47,22.9,Laterite,26.2,51.0,47.9,1.09,414.3,2.72,Sunflower
Rajasthan,Bikaner,46.2,42.8,42.1,6.72,0.4,21.4,Silty,31.0,47.6,89.3,1.41,430.9,2.7,Groundnut
West Bengal,Nadia,37.6,64.7,40.2,6.85,0.66,22.1,Red Soil,25.0,49.0,83.0,1.01,483.5,4.6,Soybean
West Bengal,South 24 Parganas,28.8,45.3,23.9,5.87,0.3,18.1,Black Cotton,19.3,40.3,52.5,0.45,636.0,4.13,Mustard
Bihar,Kishanganj,10.5,35.2,16.8,6.04,0.49,10.9,Silty,27.7,24.2,42.5,0.52,452.9,4.66,Ragi
Bihar,Kaimur,40.7,63.9,59.9,6.93,0.74,31.5,Sandy,20.9,70.1,42.9,1.42,477.6,2.51,Tomato
